uid,cid,qid,acc,time,conf,acc/time,type
5f2d4939e1b8742bba60a1e4,SU,9,1,21.166,5,0.047245582538032696,2
5f2d4939e1b8742bba60a1e4,SU,10,1,37.4,5,0.026737967914438502,2
5f2d4939e1b8742bba60a1e4,SU,11,1,40.801,3,0.024509203205803777,2
5f2d4939e1b8742bba60a1e4,SU,12,1,33.051,4,0.030256270612084354,2
5f2c831ca1dd731731121d60,SU,2,1,35.978,5,0.0277947634665629,1
5f2c831ca1dd731731121d60,SU,3,1,58.588,5,0.017068341639926266,1
5f2c831ca1dd731731121d60,SU,4,1,29.218,5,0.034225477445410366,1
5f2c831ca1dd731731121d60,SU,5,1,50.642,5,0.01974645551123573,1
5f2c831ca1dd731731121d60,SU,6,1,79.169,4,0.012631206659172152,1
5f2c831ca1dd731731121d60,SU,8,1,26.367,5,0.037926195623317026,2
5f2c831ca1dd731731121d60,SU,9,1,68.733,5,0.014549052129253778,2
5f2c831ca1dd731731121d60,SU,10,1,50.415,5,0.01983536645839532,2
5f2c831ca1dd731731121d60,SU,11,1,56.789,5,0.01760904400500097,2
5f2c831ca1dd731731121d60,SU,12,1,66.074,5,0.015134546114962013,2
5c43724ab00b3300018f49bf,SU,2,1,73.581,5,0.013590464929805248,1
5c43724ab00b3300018f49bf,SU,3,1,47.261,4,0.02115909523708766,1
5c43724ab00b3300018f49bf,SU,4,1,67.463,5,0.014822939981916014,1
5c43724ab00b3300018f49bf,SU,5,1,106.76,4,0.009366804046459348,1
5c43724ab00b3300018f49bf,SU,6,1,95.651,4,0.01045467376190526,1
5c43724ab00b3300018f49bf,SU,8,1,25.38,5,0.039401103230890466,2
5c43724ab00b3300018f49bf,SU,9,1,27.78,4,0.03599712023038157,2
5c43724ab00b3300018f49bf,SU,10,1,168.846,4,0.00592255664925435,2
5c43724ab00b3300018f49bf,SU,11,1,124.109,4,0.00805743338516949,2
5c43724ab00b3300018f49bf,SU,12,1,103.842,4,0.00963001483022284,2
5cd08e2ff59e0a0013563602,SU,2,1,36.971,5,0.02704822698872089,1
5cd08e2ff59e0a0013563602,SU,3,1,38.798,5,0.02577452446002371,1
5cd08e2ff59e0a0013563602,SU,4,1,31.304,5,0.03194479938665985,1
5cd08e2ff59e0a0013563602,SU,5,1,49.662,4,0.02013612017236519,1
5cd08e2ff59e0a0013563602,SU,6,1,62.39,3,0.01602820964898221,1
5cd08e2ff59e0a0013563602,SU,8,1,13.36,5,0.07485029940119761,2
5cd08e2ff59e0a0013563602,SU,9,1,39.2,2,0.02551020408163265,2
5cd08e2ff59e0a0013563602,SU,10,1,54.39,4,0.018385732671446955,2
5cd08e2ff59e0a0013563602,SU,11,1,49.788,5,0.02008516108299189,2
5cd08e2ff59e0a0013563602,SU,12,1,56.965,5,0.017554638813306416,2
5f4ea17781df140b24213eed,SU,2,1,59.098,4,0.016921046397509222,1
5f4ea17781df140b24213eed,SU,3,1,31.538,3,0.03170778108947936,1
5f4ea17781df140b24213eed,SU,4,1,32.023,4,0.031227555194703802,1
5f4ea17781df140b24213eed,SU,5,1,30.063,4,0.03326348002528025,1
5f4ea17781df140b24213eed,SU,6,1,39.107,4,0.025570869665277315,1
5f4ea17781df140b24213eed,SU,8,1,17.185,5,0.05819028222286878,2
5f4ea17781df140b24213eed,SU,9,1,24.507,3,0.04080466805402538,2
5f4ea17781df140b24213eed,SU,10,1,33.189,3,0.03013046491307361,2
5f4ea17781df140b24213eed,SU,11,1,29.998,2,0.033335555703713576,2
5f4ea17781df140b24213eed,SU,12,1,25.151,3,0.03975985050296211,2
5f3d2e6a0f32b804d33c162b,SU,2,1,36.886,5,0.027110556850837714,1
5f3d2e6a0f32b804d33c162b,SU,3,1,50.851,5,0.019665296650999982,1
5f3d2e6a0f32b804d33c162b,SU,4,1,44.616,5,0.02241348395194549,1
5f3d2e6a0f32b804d33c162b,SU,5,1,37.672,5,0.02654491399447866,1
5f3d2e6a0f32b804d33c162b,SU,6,1,53.467,5,0.018703125292236333,1
