uid,cid,acc,time,conf,type,acc/time
595bf7acc76e6700014d33fc,SU,0.8,69.8382,2.2,2,0.011455048956015476
5f5f8c538c9075064b38315f,SU,1.0,27.522399999999998,3.8,1,0.03633404063599105
5f5f8c538c9075064b38315f,SU,1.0,30.887999999999995,3.8,2,0.03237503237503238
5f4d1bc026199998eabe619d,SU,1.0,33.2482,5.0,1,0.030076816188545547
5f4d1bc026199998eabe619d,SU,1.0,27.278,4.6,2,0.03665957914803138
5eea8b729b444a1a0548fec2,SU,1.0,50.5378,4.4,1,0.019787169207998768
5eea8b729b444a1a0548fec2,SU,0.8,37.0118,4.2,2,0.021614728275847164
5ea966fdba2670042501b1e0,SU,1.0,27.923400000000004,4.6,1,0.03581225781960649
5ea966fdba2670042501b1e0,SU,0.8,29.0302,3.8,2,0.02755750907675455
5f474877452857130314c9d1,SU,1.0,73.655,3.8,1,0.013576810807141402
5f474877452857130314c9d1,SU,1.0,53.07280000000003,3.4,2,0.01884204338192067
5bc772a554b3bc0001a33bde,SU,0.8,19.9132,3.2,1,0.040174356708113215
5bc772a554b3bc0001a33bde,SU,0.8,17.833599999999997,3.4,2,0.044859142293199365
5ec3f96a7bd12a09e859341b,SU,0.6,3.4776,3.0,1,0.1725327812284334
5ec3f96a7bd12a09e859341b,SU,0.6,2.7988,3.2,2,0.21437759039588394
5f4e4a3855e29614e80a8e25,SU,1.0,39.973,3.6,1,0.025016886398318866
5f4e4a3855e29614e80a8e25,SU,1.0,44.82560000000001,2.6,2,0.022308680753854934
5f4914ad7bb92a40b772e4d9,SU,1.0,37.9094,4.0,1,0.026378681804512867
5f4914ad7bb92a40b772e4d9,SU,0.8,41.8554,3.6,2,0.019113423835395195
5eb6eccc6b2e3c08e61f7c39,SU,0.8,19.589400000000005,3.0,1,0.040838412610901806
5eb6eccc6b2e3c08e61f7c39,SU,1.0,24.255399999999995,2.6,2,0.04122793274899611
5ebfa8e876e71738dd5eec17,SU,0.8,21.5162,4.0,1,0.037181286658424816
5ebfa8e876e71738dd5eec17,SU,1.0,21.4504,4.2,2,0.046619177264759636
5f568b81712ed00cb3759181,SU,1.0,60.41420000000001,4.6,1,0.016552399932466207
5f568b81712ed00cb3759181,SU,1.0,98.0538,3.0,2,0.01019848287368771
5ee18bf26f65731adc9c36f1,SU,1.0,16.7934,3.0,1,0.05954720306787191
5ee18bf26f65731adc9c36f1,SU,0.8,10.688000000000002,3.0,2,0.0748502994011976
5c69483358b97400013b3685,SU,1.0,32.2848,5.0,1,0.03097432847655863
5c69483358b97400013b3685,SU,1.0,24.1244,4.6,2,0.04145180812787053
5d1f983ebf6d0300012ceffe,SU,1.0,35.3376,5.0,1,0.028298469618763016
5d1f983ebf6d0300012ceffe,SU,0.6,48.861,5.0,2,0.01227973230183582
5f0771a92b566a37faa5f2e0,SU,1.0,74.244,4.6,1,0.013469101880286622
5f0771a92b566a37faa5f2e0,SU,1.0,114.53100000000002,4.2,2,0.008731260532083016
59974e4f0ed7ae0001991a1e,SU,1.0,43.3214,5.0,1,0.02308327985706833
59974e4f0ed7ae0001991a1e,SU,1.0,63.95220000000002,4.0,2,0.015636678644362502
548cdd6bfdf99b586046fb39,SU,1.0,88.1692,3.2,1,0.011341829119465754
548cdd6bfdf99b586046fb39,SU,0.8,66.9032,3.4,2,0.011957574525583232
5bdc8f69950dce0001bddd7e,SU,1.0,71.73339999999999,4.2,1,0.013940507490234677
5bdc8f69950dce0001bddd7e,SU,1.0,120.1772,3.4,2,0.008321045922188235
583f02c8ca2e57000184353c,SU,1.0,60.6546,4.8,1,0.016486795725303604
583f02c8ca2e57000184353c,SU,1.0,47.20119999999999,4.6,2,0.02118590205333763
5f560c98c03d6b056a3650fe,SU,1.0,28.156,3.4,1,0.03551640858076432
5f560c98c03d6b056a3650fe,SU,0.6,22.366199999999992,3.2,2,0.026826193094937906
5efd22056ec55516587f32a6,SU,1.0,37.4256,4.6,1,0.02671967850882818
5efd22056ec55516587f32a6,SU,1.0,34.29959999999999,4.4,2,0.029154858948792415
5e9edad6e7784d016ed87b36,SU,1.0,31.655600000000003,4.4,1,0.031589987237645153
5e9edad6e7784d016ed87b36,SU,1.0,21.362800000000004,3.8,2,0.04681034321343643
5f4e1699f565adaefb015182,SU,1.0,27.281,4.6,1,0.036655547817162126
5f4e1699f565adaefb015182,SU,0.8,37.2766,4.4,2,0.021461184764704936
5cd089a018a86d0001b2fda6,SU,1.0,48.086400000000005,4.6,1,0.02079590071205164
5cd089a018a86d0001b2fda6,SU,1.0,33.29880000000001,4.0,2,0.030031112232272627
5f3c156a2ee10fa057e57d0e,SU,1.0,33.513999999999996,4.2,1,0.02983827654114699
5f3c156a2ee10fa057e57d0e,SU,0.6,36.10079999999999,4.0,2,0.016620130301821568
5ebee3b533dc312a4636028a,SU,1.0,36.7732,5.0,1,0.027193717163586522
5ebee3b533dc312a4636028a,SU,1.0,38.855799999999995,5.0,2,0.025736183529871993
5f58e16e0fcd7108c2479e7c,SU,1.0,168.536,4.8,1,0.0059334504200882895
